device,runtime,model,operation,seqlen,decode_tokens,throughput_tok_per_s,peak_ram_mb,disk_size_mb,zipped_size_mb,status,notes
galaxy_s24_or_s25,onnxruntime,gemma_4_e2b,prefill,256,0,18.213300,1617.000,3627.412,3627.412,ok,"warmup_runs=1,measurement_runs=3; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids; paired_prefill_decode=true; shared_context=256; shared_decode_tokens=100"
galaxy_s24_or_s25,onnxruntime,gemma_4_e2b,prefill,512,0,17.986700,1782.000,3627.412,3627.412,ok,"warmup_runs=1,measurement_runs=3; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids; paired_prefill_decode=true; shared_context=512; shared_decode_tokens=100"
galaxy_s24_or_s25,onnxruntime,gemma_4_e2b,prefill,1024,0,17.626400,2182.000,3627.412,3627.412,ok,"warmup_runs=1,measurement_runs=3; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids; paired_prefill_decode=true; shared_context=1024; shared_decode_tokens=100"
galaxy_s24_or_s25,onnxruntime,gemma_4_e2b,prefill,2048,0,16.546700,3291.000,3627.412,3627.412,ok,"warmup_runs=1,measurement_runs=3; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids; paired_prefill_decode=true; shared_context=2048; shared_decode_tokens=100"
galaxy_s24_or_s25,onnxruntime,gemma_4_e2b,prefill,4096,0,14.316300,6346.000,3627.412,3627.412,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=strict; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; gpu=disabled; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids"
galaxy_s24_or_s25,onnxruntime,gemma_4_e2b,decode,256,100,1.663560,1617.000,3627.412,3627.412,ok,"warmup_runs=1,measurement_runs=3; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids; paired_prefill_decode=true; shared_context=256; shared_decode_tokens=100; shares measured invocation with prefill row"
galaxy_s24_or_s25,onnxruntime,gemma_4_e2b,decode,512,100,1.631470,1782.000,3627.412,3627.412,ok,"warmup_runs=1,measurement_runs=3; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids; paired_prefill_decode=true; shared_context=512; shared_decode_tokens=100; shares measured invocation with prefill row"
galaxy_s24_or_s25,onnxruntime,gemma_4_e2b,decode,1024,100,1.591130,2182.000,3627.412,3627.412,ok,"warmup_runs=1,measurement_runs=3; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids; paired_prefill_decode=true; shared_context=1024; shared_decode_tokens=100; shares measured invocation with prefill row"
galaxy_s24_or_s25,onnxruntime,gemma_4_e2b,decode,2048,100,1.471690,3291.000,3627.412,3627.412,ok,"warmup_runs=1,measurement_runs=3; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids; paired_prefill_decode=true; shared_context=2048; shared_decode_tokens=100; shares measured invocation with prefill row"
galaxy_s24_or_s25,onnxruntime,lfm_2_5_vl_1_6b,prefill,256,0,92.588500,2161.000,1754.691,1754.691,ok,"warmup_runs=1,measurement_runs=3; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids; paired_prefill_decode=true; shared_context=256; shared_decode_tokens=100"
galaxy_s24_or_s25,onnxruntime,lfm_2_5_vl_1_6b,prefill,512,0,93.125200,2161.000,1754.691,1754.691,ok,"warmup_runs=1,measurement_runs=3; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids; paired_prefill_decode=true; shared_context=512; shared_decode_tokens=100"
galaxy_s24_or_s25,onnxruntime,lfm_2_5_vl_1_6b,prefill,1024,0,89.599600,2402.000,1754.691,1754.691,ok,"warmup_runs=1,measurement_runs=3; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids; paired_prefill_decode=true; shared_context=1024; shared_decode_tokens=100"
galaxy_s24_or_s25,onnxruntime,lfm_2_5_vl_1_6b,prefill,2048,0,89.010700,3277.000,1754.691,1754.691,ok,"warmup_runs=1,measurement_runs=3; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids; paired_prefill_decode=true; shared_context=2048; shared_decode_tokens=100"
galaxy_s24_or_s25,onnxruntime,lfm_2_5_vl_1_6b,prefill,4096,0,76.975400,7010.000,1754.691,1754.691,ok,"warmup_runs=1,measurement_runs=3; benchmark_mode=strict; runner=onnxruntime_llm_bench; provider=CPUExecutionProvider; gpu=disabled; threads=1; thread_count=1; core_affinity=cpu7; taskset_mask=80; format=INT4/Q4; synthetic exact-length token ids"
