device,runtime,model,operation,seqlen,decode_tokens,throughput_tok_per_s,peak_ram_mb,disk_size_mb,zipped_size_mb,status,notes
mac_m4pro,cactus,qwen3_vl_2b,decode,2048,100,25.850000,381.580,1218.608,1218.743,ok,"warmup_runs=2,measurement_runs=3; paired_prefill_decode=true; shared_context=2048; shares measured invocation with prefill row; ram_source=cactus_run_native_peak"
mac_m4pro,cactus,qwen3_vl_2b,prefill,4096,0,203.120000,1420.140,1218.608,1218.743,ok,"warmup_runs=2,measurement_runs=3; benchmark_mode=strict; cactus_runtime_version=repo 33ced0a6bdf0a535a52fdb31b835d3e8cede6882; artifact_path=/Users/noahcylich/Documents/Desert/cactus/weights/qwen3-vl-2b-instruct-reconvert; provider=cpu; gpu=disabled; cactus_chunk_size=c128; threads=default; affinity=not_set; taskset_mask=none; prefill measured with one generated token for TTFT; ram_source=cactus_run_native_peak"
mac_m4pro,executorch,gemma_4_e2b,prefill,256,0,,,,,unsupported,"ExecuTorch Mac Gemma 4 E2B IT is unsupported: ExecuTorch Gemma 4 E2B is not supported in this matrix because a fresh Hugging Face file scan found LiteRT-LM, GGUF, ONNX, MLX, AWQ, Cactus, and source-model artifacts for Gemma 4 E2B, but no exact required-model Q4/int4 ExecuTorch .pte artifact; missing required-model .pte artifact: artifacts.executorch.path is null; no required-model .pte found under weights, ../third_party/executorch; ignored unrelated .pte files: ../third_party/executorch/examples/qualcomm/oss_scripts/llama/artifacts/stories260k_hybrid_llama_qnn.pte, ../third_party/executorch/extension/apple/ExecuTorch/__tests__/resources/add.pte, ../third_party/executorch/test/models/deprecated/ModuleLinear-no-constant-segment.pte; missing tokenizer path: artifacts.executorch.tokenizer_path is not configured (local tokenizer candidate: weights/gemma-4-e2b-it/tokenizer.json)"
mac_m4pro,executorch,gemma_4_e2b,decode,256,100,,,,,unsupported,"ExecuTorch Mac Gemma 4 E2B IT is unsupported: ExecuTorch Gemma 4 E2B is not supported in this matrix because a fresh Hugging Face file scan found LiteRT-LM, GGUF, ONNX, MLX, AWQ, Cactus, and source-model artifacts for Gemma 4 E2B, but no exact required-model Q4/int4 ExecuTorch .pte artifact; missing required-model .pte artifact: artifacts.executorch.path is null; no required-model .pte found under weights, ../third_party/executorch; ignored unrelated .pte files: ../third_party/executorch/examples/qualcomm/oss_scripts/llama/artifacts/stories260k_hybrid_llama_qnn.pte, ../third_party/executorch/extension/apple/ExecuTorch/__tests__/resources/add.pte, ../third_party/executorch/test/models/deprecated/ModuleLinear-no-constant-segment.pte; missing tokenizer path: artifacts.executorch.tokenizer_path is not configured (local tokenizer candidate: weights/gemma-4-e2b-it/tokenizer.json)"
mac_m4pro,executorch,gemma_4_e2b,prefill,512,0,,,,,unsupported,"ExecuTorch Mac Gemma 4 E2B IT is unsupported: ExecuTorch Gemma 4 E2B is not supported in this matrix because a fresh Hugging Face file scan found LiteRT-LM, GGUF, ONNX, MLX, AWQ, Cactus, and source-model artifacts for Gemma 4 E2B, but no exact required-model Q4/int4 ExecuTorch .pte artifact; missing required-model .pte artifact: artifacts.executorch.path is null; no required-model .pte found under weights, ../third_party/executorch; ignored unrelated .pte files: ../third_party/executorch/examples/qualcomm/oss_scripts/llama/artifacts/stories260k_hybrid_llama_qnn.pte, ../third_party/executorch/extension/apple/ExecuTorch/__tests__/resources/add.pte, ../third_party/executorch/test/models/deprecated/ModuleLinear-no-constant-segment.pte; missing tokenizer path: artifacts.executorch.tokenizer_path is not configured (local tokenizer candidate: weights/gemma-4-e2b-it/tokenizer.json)"
mac_m4pro,executorch,gemma_4_e2b,decode,512,100,,,,,unsupported,"ExecuTorch Mac Gemma 4 E2B IT is unsupported: ExecuTorch Gemma 4 E2B is not supported in this matrix because a fresh Hugging Face file scan found LiteRT-LM, GGUF, ONNX, MLX, AWQ, Cactus, and source-model artifacts for Gemma 4 E2B, but no exact required-model Q4/int4 ExecuTorch .pte artifact; missing required-model .pte artifact: artifacts.executorch.path is null; no required-model .pte found under weights, ../third_party/executorch; ignored unrelated .pte files: ../third_party/executorch/examples/qualcomm/oss_scripts/llama/artifacts/stories260k_hybrid_llama_qnn.pte, ../third_party/executorch/extension/apple/ExecuTorch/__tests__/resources/add.pte, ../third_party/executorch/test/models/deprecated/ModuleLinear-no-constant-segment.pte; missing tokenizer path: artifacts.executorch.tokenizer_path is not configured (local tokenizer candidate: weights/gemma-4-e2b-it/tokenizer.json)"
mac_m4pro,executorch,gemma_4_e2b,prefill,1024,0,,,,,unsupported,"ExecuTorch Mac Gemma 4 E2B IT is unsupported: ExecuTorch Gemma 4 E2B is not supported in this matrix because a fresh Hugging Face file scan found LiteRT-LM, GGUF, ONNX, MLX, AWQ, Cactus, and source-model artifacts for Gemma 4 E2B, but no exact required-model Q4/int4 ExecuTorch .pte artifact; missing required-model .pte artifact: artifacts.executorch.path is null; no required-model .pte found under weights, ../third_party/executorch; ignored unrelated .pte files: ../third_party/executorch/examples/qualcomm/oss_scripts/llama/artifacts/stories260k_hybrid_llama_qnn.pte, ../third_party/executorch/extension/apple/ExecuTorch/__tests__/resources/add.pte, ../third_party/executorch/test/models/deprecated/ModuleLinear-no-constant-segment.pte; missing tokenizer path: artifacts.executorch.tokenizer_path is not configured (local tokenizer candidate: weights/gemma-4-e2b-it/tokenizer.json)"
mac_m4pro,executorch,gemma_4_e2b,decode,1024,100,,,,,unsupported,"ExecuTorch Mac Gemma 4 E2B IT is unsupported: ExecuTorch Gemma 4 E2B is not supported in this matrix because a fresh Hugging Face file scan found LiteRT-LM, GGUF, ONNX, MLX, AWQ, Cactus, and source-model artifacts for Gemma 4 E2B, but no exact required-model Q4/int4 ExecuTorch .pte artifact; missing required-model .pte artifact: artifacts.executorch.path is null; no required-model .pte found under weights, ../third_party/executorch; ignored unrelated .pte files: ../third_party/executorch/examples/qualcomm/oss_scripts/llama/artifacts/stories260k_hybrid_llama_qnn.pte, ../third_party/executorch/extension/apple/ExecuTorch/__tests__/resources/add.pte, ../third_party/executorch/test/models/deprecated/ModuleLinear-no-constant-segment.pte; missing tokenizer path: artifacts.executorch.tokenizer_path is not configured (local tokenizer candidate: weights/gemma-4-e2b-it/tokenizer.json)"
mac_m4pro,executorch,gemma_4_e2b,prefill,2048,0,,,,,unsupported,"ExecuTorch Mac Gemma 4 E2B IT is unsupported: ExecuTorch Gemma 4 E2B is not supported in this matrix because a fresh Hugging Face file scan found LiteRT-LM, GGUF, ONNX, MLX, AWQ, Cactus, and source-model artifacts for Gemma 4 E2B, but no exact required-model Q4/int4 ExecuTorch .pte artifact; missing required-model .pte artifact: artifacts.executorch.path is null; no required-model .pte found under weights, ../third_party/executorch; ignored unrelated .pte files: ../third_party/executorch/examples/qualcomm/oss_scripts/llama/artifacts/stories260k_hybrid_llama_qnn.pte, ../third_party/executorch/extension/apple/ExecuTorch/__tests__/resources/add.pte, ../third_party/executorch/test/models/deprecated/ModuleLinear-no-constant-segment.pte; missing tokenizer path: artifacts.executorch.tokenizer_path is not configured (local tokenizer candidate: weights/gemma-4-e2b-it/tokenizer.json)"
mac_m4pro,executorch,gemma_4_e2b,decode,2048,100,,,,,unsupported,"ExecuTorch Mac Gemma 4 E2B IT is unsupported: ExecuTorch Gemma 4 E2B is not supported in this matrix because a fresh Hugging Face file scan found LiteRT-LM, GGUF, ONNX, MLX, AWQ, Cactus, and source-model artifacts for Gemma 4 E2B, but no exact required-model Q4/int4 ExecuTorch .pte artifact; missing required-model .pte artifact: artifacts.executorch.path is null; no required-model .pte found under weights, ../third_party/executorch; ignored unrelated .pte files: ../third_party/executorch/examples/qualcomm/oss_scripts/llama/artifacts/stories260k_hybrid_llama_qnn.pte, ../third_party/executorch/extension/apple/ExecuTorch/__tests__/resources/add.pte, ../third_party/executorch/test/models/deprecated/ModuleLinear-no-constant-segment.pte; missing tokenizer path: artifacts.executorch.tokenizer_path is not configured (local tokenizer candidate: weights/gemma-4-e2b-it/tokenizer.json)"
